,Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
3244,down_votes,0,59,1142,0,79,1276856,14,438
3251,down_votes,0,187,8963,1,582,17971,19,1496
3252,down_votes,0,57,5863,0,1157,74302,17,968
3254,down_votes,0,1204,24848,0,2483,500974,15,2310
3281,down_votes,11,65,11494,1,367,404568,19,966
3282,down_votes,0,65,11494,0,367,404568,14,966
3283,down_votes,0,65,11494,0,367,404568,19,966
3292,down_votes,3,48,2210,0,748,14250,12,458
3293,down_votes,0,48,2210,1,748,14250,20,458
3294,down_votes,0,48,2210,0,748,14250,19,458
3295,down_votes,0,135,7085,0,410,229587,11,845
3302,down_votes,0,138,12653,0,1203,1010632,15,1381
3304,down_votes,0,48,13103,0,3352,1741868,18,1310
3307,down_votes,1,42,1844,0,179,2623395,17,237
3308,down_votes,0,42,1844,0,179,2623395,15,237
3323,down_votes,0,60,31810,1,1158,28543,20,2962
3328,down_votes,2,760,23454,0,834,978756,18,3974
3329,down_votes,0,83,551,0,166,1098397,10,76
3333,down_votes,0,46,4981,0,298,4659445,16,460
3345,down_votes,3,322,28934,0,1294,31667,10,2418
3346,down_votes,0,322,28934,2,1294,31667,20,2418
3347,down_votes,0,322,28934,1,1294,31667,10,2418
3358,down_votes,0,69,16328,0,763,1577190,16,988
3369,down_votes,0,55,9855,0,805,56672,15,1193
3384,down_votes,0,41,3098,1,245,2982874,20,465
3385,down_votes,0,1014,6470,0,1199,4631427,20,1228
3525,down_votes,0,97,235072,1,927,6068,17,10965
3526,down_votes,0,97,235072,0,927,6068,10,10965
3527,down_votes,0,97,235072,1,927,6068,18,10965
3528,down_votes,0,97,235072,0,927,6068,11,10965
3529,down_votes,0,97,235072,0,927,6068,19,10965
3530,down_votes,0,97,235072,0,927,6068,6,10965
3531,down_votes,0,97,235072,1,927,6068,11,10965
3533,down_votes,0,100,22378,0,629,302533,16,2385
3534,down_votes,0,100,22378,0,629,302533,17,2385
3536,down_votes,2,92,8022,1,1838,889583,20,792
3540,down_votes,5,80,3015,0,66,2499892,16,211
3541,down_votes,0,80,3015,0,66,2499892,6,211
3542,down_votes,0,80,3015,0,66,2499892,20,211
3543,down_votes,0,80,3015,0,66,2499892,14,211
3552,down_votes,0,133,5299,0,275,5045227,16,620
3553,down_votes,5,133,5299,0,275,5045227,18,620
3554,down_votes,0,133,5299,0,275,5045227,16,620
3555,down_votes,0,133,5299,1,275,5045227,18,620
3556,down_votes,0,133,5299,0,275,5045227,6,620
3557,down_votes,0,133,5299,0,275,5045227,15,620
3558,down_votes,0,133,5299,0,275,5045227,6,620
3569,down_votes,0,707,32662,1,2579,1612146,16,2318
3586,down_votes,1,45,4481,0,386,2131689,20,459
3587,down_votes,1,45,4481,0,386,2131689,12,459
3589,down_votes,0,54,4747,0,422,2399571,17,457
3594,down_votes,0,182,15546,0,1564,67258,17,1848
3605,down_votes,0,409,5060,0,6825,2107722,20,3839
3606,down_votes,0,409,5060,0,6825,2107722,13,3839
3617,down_votes,0,45,65634,0,1522,95944,20,4584
3667,down_votes,5,148,1692,0,509,1178075,16,154
3668,down_votes,2,148,1692,0,509,1178075,20,154
3669,down_votes,0,148,1692,1,509,1178075,12,154
3670,down_votes,0,148,1692,0,509,1178075,13,154
3671,down_votes,0,148,1692,0,509,1178075,18,154
3714,down_votes,0,759,20302,0,1361,3436942,19,2485
3727,down_votes,0,1233,68266,2,3551,1066031,18,4633
3730,down_votes,0,1294,24767,1,2417,1352288,9,2187
3731,down_votes,2,1294,24767,1,2417,1352288,20,2187
3732,down_votes,1,1294,24767,1,2417,1352288,20,2187
3741,down_votes,4,1648,279695,0,1406,507674,18,22360
3749,down_votes,0,80,5265,0,764,2922834,20,612
3757,down_votes,0,50,6014,0,571,236755,12,318
3758,down_votes,0,44,19231,0,812,240363,9,2131
3759,down_votes,2,44,19231,0,812,240363,14,2131
3760,down_votes,0,44,19231,0,812,240363,13,2131
3761,down_votes,5,44,19231,0,812,240363,16,2131
3762,down_votes,1,44,19231,0,812,240363,17,2131
3771,down_votes,0,180,15300,0,850,2089006,13,978
3772,down_votes,2,180,15300,0,850,2089006,19,978
3773,down_votes,2,180,15300,0,850,2089006,15,978
3774,down_votes,0,180,15300,0,850,2089006,14,978
3785,down_votes,2,45,3320,0,164,42429,13,414
3786,down_votes,1,45,3320,0,164,42429,17,414
3796,down_votes,0,44,7459,0,161,2896626,20,457
3817,down_votes,2,267,12746,0,1905,2541,20,3832
3822,down_votes,0,801,5502,0,792,1765866,18,1628
3823,down_votes,0,801,5502,0,792,1765866,17,1628
3857,down_votes,0,91,4710,0,670,1041691,19,617
3858,down_votes,0,91,4710,0,670,1041691,6,617
3859,down_votes,1,91,4710,0,670,1041691,9,617
3897,down_votes,0,46,2233,0,246,216229,11,269
3898,down_votes,0,41,8269,0,650,271907,6,1002
3899,down_votes,1,41,8269,0,650,271907,11,1002
3900,down_votes,0,41,8269,1,650,271907,12,1002
3901,down_votes,0,41,8269,1,650,271907,18,1002
3902,down_votes,1,41,8269,0,650,271907,18,1002
3903,down_votes,2,41,8269,0,650,271907,17,1002
3904,down_votes,0,41,8269,1,650,271907,16,1002
3923,down_votes,6,129,3544,0,416,2595033,20,402
3924,down_votes,0,129,3544,0,416,2595033,17,402
3948,down_votes,3,849,16264,1,1507,930393,18,1744
3957,down_votes,5,73,7143,0,1988,2038544,19,498
3967,down_votes,13,47,2481,0,52,5409512,19,354
3968,down_votes,0,47,2481,0,52,5409512,17,354
3993,down_votes,1,143,6052,0,1101,5552,12,714
3994,down_votes,0,143,6052,0,1101,5552,11,714
4009,down_votes,2,154,1360,0,1227,6084335,12,121
4011,down_votes,4,290,23645,0,3889,156755,16,5226
4014,down_votes,0,139,12407,0,3683,351785,16,784
4067,down_votes,0,154,197771,0,975,12870,20,9458
4068,down_votes,0,154,197771,1,975,12870,20,9458
4069,down_votes,0,154,197771,0,975,12870,17,9458
4070,down_votes,0,67,29864,0,1496,15369,13,2531
4071,down_votes,2,67,29864,0,1496,15369,15,2531
4072,down_votes,1,67,29864,0,1496,15369,19,2531
4073,down_votes,2,67,29864,0,1496,15369,16,2531
4074,down_votes,3,67,29864,0,1496,15369,18,2531
4075,down_votes,0,347,14620,0,662,28768,16,1750
4081,down_votes,3,86,2683,0,414,159365,17,353
4082,down_votes,2,120,50978,0,2112,356635,20,4399
4083,down_votes,2,47,20547,0,1360,1212017,19,3336
4084,down_votes,0,47,20547,0,1360,1212017,17,3336
4085,down_votes,1,47,20547,0,1360,1212017,16,3336
4108,down_votes,0,266,24503,1,3232,1596545,16,2121
4109,down_votes,1,266,24503,0,3232,1596545,8,2121
4161,down_votes,0,319,12266,0,4760,180430,15,1008
4166,down_votes,0,257,5822,1,4348,1075247,15,1198
4167,down_votes,5,257,5822,0,4348,1075247,14,1198
4168,down_votes,2,257,5822,0,4348,1075247,15,1198
4169,down_votes,0,257,5822,0,4348,1075247,15,1198
4170,down_votes,0,257,5822,0,4348,1075247,17,1198
4177,down_votes,0,49,5797,0,1076,90608,20,526
4183,down_votes,0,63,10692,0,444,424611,15,894
4184,down_votes,0,63,10692,0,444,424611,10,894
4190,down_votes,2,102,3538,0,126,3359782,16,932
4191,down_votes,2,102,3538,0,126,3359782,20,932
4192,down_votes,0,102,3538,0,126,3359782,18,932
4193,down_votes,0,102,3538,0,126,3359782,14,932
4195,down_votes,1,98,13238,0,92,125680,12,1495
4209,down_votes,0,812,38113,0,1737,699224,16,3852
4228,down_votes,3,51,7556,2,307,342932,19,1168
4229,down_votes,0,51,7556,0,307,342932,17,1168
4233,down_votes,0,2549,18807,0,3154,1084416,10,4475
4253,down_votes,0,42,21884,0,1945,435129,17,2032
4254,down_votes,0,42,21884,0,1945,435129,7,2032
