,Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
1185,score,0,0,31,-1,0,969507,20,24
1187,score,0,0,41,-1,7,3348196,17,21
1188,score,1,0,41,-1,7,3348196,20,21
1197,score,0,3,345,1,45,1566860,19,36
1206,score,3,1,240,-1,70,5102848,13,87
1207,score,0,15,389,1,19,5545947,17,86
1213,score,0,6,2915,1,80,400406,16,285
1217,score,0,962,26919,-1,6113,495796,19,5170
1223,score,2,0,977,1,79,654445,16,162
1236,score,4,0,440,1,27,2221770,13,25
1254,score,0,0,384,1,139,25102,19,90
1259,score,0,79,2805,1,197,1410918,20,246
1262,score,0,0,339,2,3,2110426,17,14
1264,score,0,0,189,1,10,5540570,12,22
1266,score,0,11,3110,1,406,265431,16,488
1267,score,3,11,3110,1,406,265431,15,488
1269,score,3,11,3110,1,406,265431,18,488
1272,score,2,4,1990,1,255,604435,19,55
1277,score,8,434,4693,2,753,5897602,19,795
1281,score,5,434,4693,1,753,5897602,19,795
1286,score,0,0,186,1,9,743783,20,54
1297,score,1,2,2185,1,239,58005,15,217
1299,score,0,9,5524,1,122,192313,12,246
1305,score,1,0,368,1,22,1534500,18,92
1307,score,1,556,5394,1,529,2283946,16,1032
1316,score,2,42,46915,1,845,20400,19,3414
1321,score,2,5,10471,2,469,1622847,17,677
1327,score,1,0,1009,1,1,193798,12,64
1335,score,0,5,8493,1,604,1564065,19,2385
1338,score,0,1,1558,1,84,2858948,15,189
1346,score,1,0,223,-3,7,6319641,13,19
1349,score,1,0,5229,1,57,97925,18,365
1351,score,4,0,5229,1,57,97925,17,365
1353,score,1,14,3815,1,1137,196533,19,186
1355,score,0,449,21315,1,1037,229792,17,2092
1361,score,1,6,1445,1,609,2911232,18,228
1365,score,1,9,868,1,105,3511639,14,197
1366,score,0,0,101,1,4,3932921,16,36
1368,score,0,1,1570,1,348,5562045,16,120
1380,score,0,0,29,-2,7,1446358,18,42
1382,score,0,27,573,1,52,4447297,19,98
1388,score,0,10,11726,3,320,122033,16,1457
1391,score,0,23,11623,1,519,180420,20,805
1394,score,3,6,735,1,41,357747,15,127
1395,score,3,20,1508,-1,112,479129,18,97
1397,score,0,1,723,1,13,2888307,20,52
1413,score,2,1329,17774,2,234,620444,20,2624
1419,score,5,0,81,-1,2,6305574,14,31
1421,score,0,71,11377,1,1658,283538,20,1549
1426,score,0,71,11377,2,1658,283538,14,1549
1427,score,5,71,11377,1,1658,283538,20,1549
1430,score,6,0,1958,1,48,1134275,8,202
1435,score,0,7,1197,2,474,2253888,16,397
1441,score,1,0,142,-1,33,4977435,18,42
1467,score,0,5,12781,1,423,734463,19,531
1473,score,1,0,616,1,9,1089550,17,51
1476,score,1,0,243,1,108,1546292,20,52
1484,score,0,0,185,1,2,5173262,17,20
1490,score,0,1,3803,-1,252,972501,20,420
1492,score,3,1,3915,1,724,1572408,19,255
1493,score,0,26,854,2,170,2136579,20,103
1498,score,0,58,3824,1,142,2346961,15,330
1500,score,0,3,1220,1,23,2987400,15,94
1506,score,1,168,20437,1,536,42106,14,2845
1511,score,0,65,4542,-1,39,1061257,18,216
1516,score,0,2,172,2,27,1318240,13,37
1518,score,0,3,1912,1,2040,3410518,12,269
1519,score,0,1,1540,-2,127,4172979,10,57
1523,score,0,5,822,1,455,138594,8,94
1526,score,2,4,1804,1,85,2319804,17,181
1538,score,2,6,2356,1,124,339197,17,187
1573,score,0,7,5272,1,602,402231,18,404
1574,score,0,7,5272,1,602,402231,13,404
1576,score,0,0,1607,1,14,438853,6,114
1582,score,0,0,278,1,6,1119644,15,54
1583,score,1,0,278,1,6,1119644,18,54
1587,score,0,109,2643,1,295,1659527,20,122
1590,score,4,10,10304,1,2402,2270404,20,421
1629,score,5,7,1482,1,81,1049464,17,61
1632,score,0,0,268,-1,29,3067878,16,18
1636,score,0,2,221,-2,15,5078967,12,38
1643,score,0,15,55182,1,98,343204,6,2363
1691,score,0,2,465,2,46,5507446,20,95
1694,score,1,2,5809,1,136,477489,20,330
1696,score,3,3,816,1,50,1677045,18,106
1708,score,0,0,1591,-1,95,232043,10,103
1728,score,6,24,6467,1,187,726965,16,684
1729,score,0,24,6467,1,187,726965,15,684
1733,score,0,10,23084,1,297,1319998,17,1495
1736,score,0,20,3309,1,186,1894453,20,165
1739,score,2,20,3309,1,186,1894453,20,165
1746,score,1,0,165,2,4,4470516,11,39
1749,score,0,314,2375,-2,1205,5111870,15,709
1763,score,0,0,25,1,3,4850972,18,27
1765,score,0,5,24507,1,61,275501,20,364
1766,score,0,1,689,1,27,296988,16,152
1770,score,0,1,1658,1,212,971412,17,156
1774,score,2,16,14031,1,2543,1327651,18,894
1785,score,1,0,189,1,6,4859629,14,28
1786,score,2,0,138,1,1,4981694,19,21
1800,score,0,8,1299,1,574,1997581,20,56
1816,score,0,0,145,1,0,1057026,20,44
1820,score,0,36,1421,1,155,2250361,20,226
1827,score,1,2,5537,1,2347,2550114,16,233
1834,score,0,1,514,-1,33,241593,18,93
1837,score,1,0,1131,2,1,1484573,6,82
1839,score,2,1,421,1,825,1517321,18,63
1843,score,0,0,1152,1,18,2890451,19,151
1848,score,0,2,1023,1,39,4916475,16,103
1849,score,3,2,1023,1,39,4916475,20,103
1851,score,0,2,642,1,37,5878789,16,42
1858,score,0,2,6132,1,181,712506,16,357
1870,score,1,0,3025,1,152,1304016,20,273
1872,score,3,0,3025,-1,152,1304016,10,273
1877,score,2,0,3025,-1,152,1304016,20,273
1880,score,2,0,85,1,22,1552404,17,24
1901,score,0,0,13869,1,366,385563,19,1060
1905,score,0,4,932,2,771,1030580,13,163
1909,score,0,2,4311,1,93,1068497,19,178
1923,score,1,5,984,-1,137,217953,14,85
1933,score,1,4,634,1,70,1972453,15,48
1937,score,0,0,89,1,2,3960873,15,40
1938,score,4,0,89,1,2,3960873,16,40
1943,score,0,3624,19668,2,2290,70345,20,2877
1947,score,0,10,2656,2,259,1646372,18,161
1951,score,3,0,172,1,27,5558115,17,49
1962,score,0,2,1102,1,172,285549,13,124
1967,score,0,10,613,1,136,716161,19,103
1968,score,2,1,346,1,106,1821242,12,93
1987,score,0,42,21155,1,1006,442351,17,1225
1995,score,2,42,21155,1,1006,442351,20,1225
1998,score,0,1,1190,1,69,1130260,14,61
2000,score,0,1,1250,-2,29,1872530,17,64
2006,score,0,1,842,-1,81,2810014,17,135
2012,score,0,29,6199,1,414,595305,14,1272
2018,score,4,86,6625,1,659,1100874,20,767
2019,score,2,86,6625,2,659,1100874,17,767
2033,score,0,28,693,1,178,6155692,20,75
2034,score,0,28,693,1,178,6155692,13,75
2035,score,0,36,11002,1,144,17440,12,686
2038,score,0,8,6794,-1,162,48659,4,488
2042,score,1,1,2584,1,77,221434,12,266
2056,score,2,0,211,2,10,4366879,19,31
2065,score,1,102,9272,-1,1728,39722,19,1250
2074,score,2,0,1810,1,187,1176660,14,232
2081,score,0,0,407,1,39,2505757,10,40
2084,score,0,0,27,1,0,5878721,16,17
2085,score,0,6,15351,1,316,428404,18,641
2087,score,1,10,2492,1,318,1173776,20,182
2089,score,0,7,2331,2,596,1759687,20,222
2092,score,2,5,1139,1,144,2909759,15,141
2095,score,2,9,9166,1,180,722180,16,709
2096,score,4,29,7033,1,162,876937,15,440
2099,score,0,0,149,1,55,1630136,7,40
2100,score,0,0,149,1,55,1630136,16,40
2110,score,2,1,140,-1,19,4773863,10,17
2111,score,1,0,457,-1,58,5020874,19,119
2129,score,0,0,71,1,64,4222145,19,21
2138,score,0,0,183,1,18,5740672,20,28
2139,score,0,46,48375,1,1526,11898,16,2398
2140,score,0,46,48375,1,1526,11898,17,2398
2142,score,0,595,22540,1,2471,15371,17,1276
2150,score,0,0,1756,1,49,1526032,18,188
2152,score,0,0,394,1,15,2096348,9,36
2157,score,0,4,2700,1,1171,199111,16,117
2165,score,4,0,331,-1,28,2126810,16,115
2166,score,1,13,226,1,17,2618700,14,18
2171,score,0,4,3024,1,193,120403,18,417
2172,score,3,12,897,1,144,134118,17,103
2184,score,0,19,806,1,56,1209947,20,87
2185,score,0,4,928,1,18,2083055,8,78
2189,score,0,6,1683,1,453,2386548,17,101
2195,score,0,0,281,1,32,4206036,18,26
2205,score,1,30,7290,-1,492,221342,15,480
2208,score,4,3,1046,1,39,526428,11,48
2212,score,1,0,1176,1,33,1948625,13,61
2214,score,2,19,853,1,262,2314659,19,38
2231,score,0,0,1077,1,16,1058543,18,182
2237,score,0,3,2331,1,15,2596477,16,140
2238,score,0,0,821,1,198,3611812,16,98
2241,score,0,0,15,-1,0,6446094,8,2
2248,score,0,0,101,-1,0,6385863,17,3
2249,score,0,0,33,1,1,6427984,9,3
2252,score,0,0,60,1,10,2851730,19,4
2254,score,1,0,35,-2,1,4673637,16,4
2255,score,0,0,39,1,0,4867351,10,5
2263,score,3,0,48,-2,51,6008400,15,6
2270,score,0,0,153,1,25,6086982,19,7
2271,score,0,0,63,1,2,2075767,14,7
2272,score,0,0,59,1,2,5887829,20,7
2277,score,1,0,35,1,46,5700339,19,8
2282,score,0,0,51,1,0,2733145,18,9
2287,score,2,0,58,-1,1,6426220,15,9
2288,score,3,0,58,-1,1,6426220,16,9
2289,score,0,0,85,-1,6,3933207,17,10
2292,score,0,0,5,-1,0,1654996,13,10
2295,score,0,0,85,1,2,3003819,18,11
2300,score,0,0,53,2,7,3845143,15,12
2306,score,0,0,93,1,8,3764923,17,13
2309,score,5,0,83,-1,1,4534218,17,13
2310,score,4,0,1,-1,0,5986483,20,17
2312,score,1,0,1,-1,0,6342474,8,0
2327,score,0,0,1,-1,0,2023702,18,2
2328,score,2,0,1,-4,0,6342677,12,3
2336,score,4,0,3,-4,0,4804161,19,0
2337,score,0,0,3,-1,0,3083358,17,1
2345,score,2,0,11,1,0,3619866,16,1
2346,score,0,0,11,1,0,2950580,14,1
2348,score,0,0,11,1,0,6444510,14,4
2358,score,0,0,13,1,0,5789483,19,9
2360,score,10,0,13,-1,0,3476240,18,9
2372,score,0,0,31,-1,4,5940472,19,2
2377,score,0,0,41,-2,0,4437570,10,15
2379,score,2,0,41,1,2,2711360,13,10
2393,score,0,1,228,-1,59,2429707,11,24
2399,score,0,0,79,-1,2,6115169,20,56
2421,score,0,0,182,1,10,1346671,16,43
2430,score,0,23,5192,2,374,630203,18,419
2439,score,0,105,7512,1,7649,1658526,13,754
2442,score,0,24,5658,1,414,1844811,16,1047
2459,score,3,0,281,1,10,1038598,18,24
2460,score,1,1,2105,-3,384,1223134,19,191
2468,score,0,2,932,1,226,2542919,16,138
2477,score,0,6,2634,1,94,7055,20,199
2484,score,0,9,1438,1,291,1749551,10,92
2485,score,0,0,1084,1,54,2105307,19,86
2494,score,0,28,4139,1,191,2961662,12,285
2503,score,2,0,129,1,0,6357705,20,17
2507,score,1,0,1601,1,141,605156,14,176
2515,score,2,0,521,-2,18,1809406,18,99
2521,score,0,0,117,1,3,2996198,16,36
2532,score,2,198,37327,-1,1900,38522,18,2872
2533,score,1,198,37327,-1,1900,38522,19,2872
2537,score,1,198,37327,-1,1900,38522,10,2872
2538,score,4,198,37327,2,1900,38522,20,2872
2543,score,1,198,37327,1,1900,38522,19,2872
2546,score,0,0,751,1,120,998816,12,505
2550,score,0,0,143,1,13,2573417,15,14
2553,score,0,5,1193,3,73,3139907,18,147
2561,score,0,4,907,1,53,1732907,18,206
2564,score,0,0,496,1,4,2245633,20,50
2570,score,3,0,243,-2,3,3125923,19,26
2572,score,4,7,1286,1,175,4169411,19,301
2576,score,2,0,99,1,17,5875219,15,36
2579,score,0,0,615,1,26,6219895,19,35
2582,score,0,10,4653,1,155,201657,17,359
2585,score,1,4,575,1,76,631336,11,39
2589,score,0,0,505,1,15,1264021,16,37
2591,score,0,7,714,1,11,1584074,19,36
2592,score,0,20,8832,1,433,1596371,19,344
2593,score,0,20,8832,1,433,1596371,17,344
2594,score,0,0,71,1,0,5055948,14,42
2600,score,0,0,71,1,4,5878135,18,22
2604,score,0,31,3888,1,1870,395295,16,1110
2607,score,0,8,987,-1,243,946923,20,334
2611,score,0,173,9103,2,2008,1388292,19,677
2614,score,2,1,545,1,37,1806537,20,79
2615,score,0,1,545,1,37,1806537,11,79
2618,score,0,1,457,1,33,2325955,20,98
2627,score,0,0,169,1,128,1177021,16,48
2638,score,2,5,559,-1,43,5524346,15,91
2641,score,0,2,1130,1,11,1062441,10,178
2643,score,0,4,6133,1,341,1150961,18,476
2645,score,0,40,486,1,167,1683187,17,61
2649,score,0,4,285,1,76,4498202,11,35
2665,score,4,0,583,1,3,2459062,15,41
2668,score,3,11,2314,-1,1011,5107084,11,189
2670,score,0,11,2314,1,1011,5107084,20,189
2671,score,1,11,2314,-1,1011,5107084,15,189
2674,score,0,11,2314,1,1011,5107084,14,189
2676,score,1,8,2212,1,699,418366,10,266
2677,score,0,8,2212,1,699,418366,11,266
2680,score,0,778,13466,2,920,789657,13,4388
2690,score,0,26,4848,1,143,239101,19,407
2693,score,1,45,2196,1,3782,1060051,17,553
2698,score,1,4,880,1,74,1787122,15,117
2699,score,0,5,2953,1,239,1909783,19,138
2708,score,3,8,423,-1,27,4514399,16,70
2715,score,1,8,1686,1,158,2086839,19,229
2726,score,0,6,569,1,14,5666482,18,92
2727,score,0,0,3463,1,370,56711,15,258
2737,score,0,13,4273,1,232,362840,20,415
2741,score,0,0,1385,1,104,1204446,18,261
2751,score,2,7,472,1,254,2275559,19,167
2758,score,0,72,3326,1,285,3697264,17,1003
2768,score,0,484,28663,2,1577,21061,17,2387
2769,score,1,194,49892,1,492,191463,12,2449
2784,score,1,0,857,1,18,3310775,16,90
2785,score,4,1,701,-1,70,3779507,15,190
2787,score,4,0,193,1,95,5775994,16,22
2790,score,4,46,17310,1,3414,303612,17,4062
2791,score,2,46,17310,1,3414,303612,15,4062
2793,score,0,23,2509,1,131,924862,10,385
2795,score,1,1,55042,1,5546,1006010,12,2630
2796,score,0,0,476,1,9,1336971,20,27
2802,score,0,15,2425,3,768,4960774,19,218
2803,score,0,15,2425,1,768,4960774,10,218
2804,score,0,0,193,1,81,6156425,19,16
2810,score,2,485,12628,2,5163,940834,18,1792
2830,score,0,206,4576,1,294,1638237,14,784
2831,score,2,206,4576,1,294,1638237,19,784
2833,score,0,206,4576,-2,294,1638237,16,784
2834,score,1,85,38542,1,2078,2071807,19,1978
2859,score,0,72,5708,1,591,4671754,18,913
2867,score,0,5,7254,1,1210,225813,12,449
2880,score,0,5,4257,1,66,1838651,17,361
2881,score,1,2,819,1,68,2067893,18,132
2882,score,1,3,191,1,13,2130106,15,46
2885,score,5,0,203,-1,44,5224239,17,31
2887,score,0,0,65,1,6,5441039,18,18
2888,score,2,0,99,-1,5,6018983,18,91
2895,score,0,0,311,1,25,1079477,16,69
2899,score,0,2,2548,1,383,1939370,19,110
2911,score,0,16,9290,1,225,1303170,12,1194
2921,score,0,0,79,1,1,3043596,13,26
2931,score,0,343,5825,1,1541,933198,20,3237
2938,score,0,0,57,1,10,5340352,14,17
2945,score,3,5,3527,1,1245,2393012,19,466
2954,score,0,1,615,2,46,366336,16,57
2955,score,0,1,1475,1,113,1001421,16,158
2958,score,0,0,65,1,5,3246044,18,19
2961,score,1,0,391,-1,13,5489173,10,27
2962,score,2,197,115343,-1,3682,99834,11,8228
2963,score,3,197,115343,-1,3682,99834,16,8228
2974,score,1,197,115343,1,3682,99834,20,8228
2975,score,1,197,115343,1,3682,99834,15,8228
2977,score,0,197,115343,1,3682,99834,13,8228
2980,score,0,197,115343,-2,3682,99834,18,8228
2981,score,0,197,115343,1,3682,99834,16,8228
2984,score,0,197,115343,-2,3682,99834,18,8228
2989,score,0,2,7663,1,212,504612,16,651
2994,score,0,2,7663,-1,212,504612,19,651
3012,score,3,49,6229,1,351,3607273,18,912
3023,score,0,13,446,1,49,1228736,14,148
3033,score,0,49,7955,1,477,2613662,15,422
3039,score,0,9,2272,1,380,3194213,15,638
3041,score,0,9,2272,1,380,3194213,20,638
3044,score,0,6,202,-1,25,5255941,17,25
3045,score,0,21,1752,1,117,5389482,20,201
3053,score,4,33,11323,1,1455,2091169,17,975
3059,score,0,33,11323,1,1455,2091169,20,975
3064,score,1,4,1082,1,295,2535843,13,209
3067,score,2,0,269,1,121,3125112,16,29
3074,score,0,220,5737,1,2206,1147385,17,968
3075,score,2,0,533,-1,25,1168239,17,38
3077,score,0,4,1145,1,30,1228263,6,64
3080,score,0,0,231,1,68,2199898,20,45
3090,score,0,0,1084,1,36,1246086,18,87
3091,score,3,3,917,1,100,1446264,20,130
3092,score,2,3,917,-1,100,1446264,19,130
3097,score,10,2,1806,1,1137,1700106,16,197
3099,score,6,18,1976,-1,160,2816909,16,184
3101,score,0,1,366,-1,59,3353752,7,176
3102,score,1,1,366,-1,59,3353752,12,176
3106,score,0,10,2700,1,2306,3909886,18,287
3108,score,2,0,64,-1,9,4332108,18,14
3113,score,0,0,189,1,0,6162335,17,27
3115,score,0,6,5774,1,692,115102,16,597
3118,score,0,16,2140,1,128,547239,11,288
3125,score,7,21,4711,-2,178,1479619,18,548
3126,score,0,21,4711,1,178,1479619,16,548
3128,score,3,15,4958,1,581,1735653,17,454
3129,score,0,15,4958,1,581,1735653,15,454
3131,score,0,6,2786,2,527,2656101,19,196
3133,score,1,2,1059,1,401,3570183,14,142
3135,score,0,2,1059,1,401,3570183,20,142
3136,score,0,6,605,1,223,4592852,14,118
3137,score,3,1,335,1,16,6138721,14,52
3140,score,0,10,4206,1,127,287732,20,546
3147,score,0,2,3139,-4,65,1752935,19,322
3168,score,0,5,605,1,59,4026748,17,78
3169,score,0,0,166,1,53,4258956,18,21
3177,score,0,2,412,1,18,3852586,18,40
3184,score,0,6,4187,1,163,240218,18,508
3197,score,2,18,22239,1,1893,509706,19,1497
3201,score,0,9,8389,-1,285,1261316,16,443
3203,score,1,0,2937,1,104,2042767,19,351
3221,score,2,5,7400,1,1053,3398554,16,615
3227,score,0,15,653,1,169,4086095,18,292
3236,score,0,126,23409,1,1452,202168,16,1690
3238,score,0,2,5179,1,548,871079,18,464
3247,score,0,0,285,2,19,3233462,20,33
3250,score,0,39,894,1,133,5724342,20,120
3251,score,0,187,8963,1,582,17971,19,1496
3253,score,0,1,790,1,31,421039,19,93
3257,score,4,4,3227,-2,77,1577959,17,254
3260,score,0,24,5264,1,204,2000012,16,426
3268,score,0,16,3988,1,396,1014237,16,732
3269,score,0,16,3988,1,396,1014237,12,732
3271,score,1,1,259,1,69,2111795,11,41
3273,score,0,19,1217,1,365,26201,15,182
3276,score,0,3,6138,1,228,28190,19,495
3277,score,4,6,1728,1,186,29573,16,266
3281,score,11,65,11494,1,367,404568,19,966
3284,score,0,9,5273,2,282,1160747,19,290
3287,score,0,0,101,1,4,2131738,13,16
3288,score,0,0,643,3,3,3625467,17,20
3293,score,0,48,2210,1,748,14250,20,458
3296,score,7,6,1125,-1,116,598832,16,68
3298,score,2,11,897,-1,187,701867,16,95
3300,score,0,22,5056,1,436,923340,16,875
3303,score,0,3,4270,-1,358,1650337,18,467
3309,score,2,0,617,1,3,2920176,17,64
3312,score,0,0,984,1,14,3423025,17,77
3313,score,0,0,185,1,13,3440031,17,18
3323,score,0,60,31810,1,1158,28543,20,2962
3342,score,2,0,81,1,15,2765211,17,33
3346,score,0,322,28934,2,1294,31667,20,2418
3347,score,0,322,28934,1,1294,31667,10,2418
3356,score,0,0,579,1,45,1464618,14,67
3368,score,0,0,271,1,24,3710926,19,42
3370,score,0,10,9938,1,633,398939,16,695
3374,score,4,3,1922,1,253,2245934,17,238
3376,score,2,10,1577,-1,107,2251468,18,397
3380,score,0,10,1577,1,107,2251468,17,397
3384,score,0,41,3098,1,245,2982874,20,465
3387,score,0,0,5,1,0,6309839,18,1
3390,score,1,0,19,-2,0,6022366,15,2
3393,score,0,0,58,1,0,5071207,19,3
3394,score,2,0,151,-1,13,245456,19,3
3398,score,0,0,43,1,1,5212312,20,4
3412,score,0,0,197,2,15,5870762,16,6
3421,score,0,0,39,1,1,2567946,13,8
3438,score,0,0,61,-1,4,2924961,9,11
3442,score,3,0,139,1,2,2685382,20,12
3443,score,0,1,188,1,4,4191798,16,12
3446,score,0,3,358,1,54,643923,15,13
3448,score,0,0,89,1,4,2231945,19,13
3457,score,0,0,1,-1,0,4334454,16,1
3464,score,0,0,1,-1,0,6032430,18,2
3475,score,0,0,3,-2,0,3337175,19,1
3478,score,0,0,3,-1,0,4016967,18,2
3479,score,1,0,3,-1,0,6414551,9,2
3485,score,3,0,3,-1,0,4495734,19,5
3495,score,1,0,11,1,0,5330982,15,1
3500,score,6,0,13,1,0,5534424,12,0
3503,score,3,0,13,1,0,467021,17,9
3509,score,0,0,23,-1,14,5900517,18,111
3514,score,1,0,23,-2,0,5661248,17,13
3518,score,1,0,31,1,2,5923623,17,16
3524,score,1,0,41,1,1,4591527,15,4
3525,score,0,97,235072,1,927,6068,17,10965
3527,score,0,97,235072,1,927,6068,18,10965
3531,score,0,97,235072,1,927,6068,11,10965
3536,score,2,92,8022,1,1838,889583,20,792
3555,score,0,133,5299,1,275,5045227,18,620
3559,score,2,3,1874,1,150,174955,16,341
3561,score,0,3,1874,1,150,174955,20,341
3569,score,0,707,32662,1,2579,1612146,16,2318
3571,score,0,0,272,2,8,2162339,19,33
3582,score,0,14,5500,-1,598,1077188,18,404
3585,score,0,0,745,1,31,1472203,18,55
3607,score,0,4,896,1,69,2594702,15,69
3613,score,0,0,95,1,10,5056569,18,16
3621,score,0,7,538,1,52,5517957,17,59
3628,score,1,10,15157,1,1456,623519,14,402
3632,score,1,0,237,1,1,1900967,19,37
3636,score,1,0,693,1,3,2989715,14,30
3643,score,3,2,1436,1,27,491284,19,63
3648,score,0,0,807,1,31,1286220,13,47
3652,score,4,14,3947,1,759,3059024,14,297
3660,score,2,0,77,1,72,5127347,19,15
3662,score,0,8,480,2,18,6133746,16,18
3669,score,0,148,1692,1,509,1178075,12,154
3676,score,2,4,3675,-1,266,1341935,20,226
3683,score,0,8,1360,1,115,3703912,19,222
3685,score,0,8,1360,1,115,3703912,13,222
3701,score,3,1,564,1,34,2135219,17,139
3706,score,0,5,3687,1,42,109175,19,171
3707,score,0,11,1285,1,158,402585,15,96
3709,score,0,19,2361,1,100,1864403,16,184
3712,score,0,0,403,1,13,3374382,19,32
3715,score,1,0,99,-1,16,3945674,20,31
3716,score,2,0,86,-2,6,4573666,20,67
3724,score,0,1,333,1,102,370092,18,146
3725,score,0,6,1111,1,85,932391,17,88
3727,score,0,1233,68266,2,3551,1066031,18,4633
3729,score,3,2,12568,2,1820,1071383,20,475
3730,score,0,1294,24767,1,2417,1352288,9,2187
3731,score,2,1294,24767,1,2417,1352288,20,2187
3732,score,1,1294,24767,1,2417,1352288,20,2187
3748,score,0,19,3661,1,172,2505574,15,327
3750,score,2,0,285,1,8,3545704,19,33
3755,score,0,7,3434,1,71,151770,13,360
3768,score,0,15,7143,1,1954,601299,16,908
3782,score,1,1,444,1,22,5318061,15,42
3787,score,2,0,2480,2,603,694659,15,534
3794,score,1,0,79,1,15,2373250,20,44
3799,score,0,1,1033,1,38,2907645,17,139
3800,score,6,5,748,-2,68,3087106,17,93
3804,score,0,6,1348,2,40,4831663,16,104
3816,score,0,0,1215,1,20,6084656,16,53
3824,score,4,4,2050,1,569,2883603,16,333
3825,score,0,4,2050,1,569,2883603,8,333
3826,score,0,4,2050,1,569,2883603,19,333
3827,score,0,4,2050,2,569,2883603,20,333
3830,score,4,0,323,1,30,4849946,11,55
3832,score,0,0,55,-1,2,5541800,16,22
3852,score,0,2,372,1,70,4757635,13,32
3863,score,0,6,4521,1,1004,1615183,16,1013
3866,score,0,2,823,1,22,1694704,11,59
3872,score,0,0,513,1,81,3911229,20,162
3876,score,0,1,730,1,11,713795,13,160
3877,score,0,10,2227,1,276,1279002,17,168
3888,score,1,2,1512,1,70,691103,18,134
3892,score,0,13,1693,1,299,2106834,20,104
3900,score,0,41,8269,1,650,271907,12,1002
3901,score,0,41,8269,1,650,271907,18,1002
3904,score,0,41,8269,1,650,271907,16,1002
3905,score,1,8,48170,1,435,449856,16,2380
3908,score,0,6,445,1,10,1704673,13,67
3917,score,0,1,738,1,64,1387713,16,103
3919,score,0,1,738,-1,64,1387713,19,103
3926,score,0,7,2948,1,317,4174195,17,399
3934,score,0,33,47519,1,943,5017,17,3083
3935,score,0,3,22996,1,2443,94278,16,2215
3939,score,0,3,22996,1,2443,94278,14,2215
3944,score,2,0,547,1,19,305584,19,91
3948,score,3,849,16264,1,1507,930393,18,1744
3958,score,4,9,3190,2,159,2993035,20,179
3961,score,5,17,2258,1,230,4400016,19,243
3977,score,0,1,790,-2,97,925594,16,82
3984,score,2,17,4358,2,704,2030468,14,660
3988,score,9,32,3521,1,447,2487602,19,1000
3998,score,0,0,233,-1,14,1241307,15,48
4008,score,7,0,59,-1,8,4556616,19,23
4012,score,1,2,1060,1,29,351170,18,129
4013,score,3,2,1060,-1,29,351170,14,129
4017,score,1,40,4518,1,137,470159,17,422
4025,score,0,26,8577,1,693,854207,18,1016
4026,score,2,26,8577,1,693,854207,20,1016
4034,score,0,1,1047,1,103,2120273,19,34
4035,score,4,1,211,-2,24,2258458,19,71
4041,score,3,0,95,2,6,3032288,13,17
4042,score,0,6,6143,2,863,4838189,20,241
4046,score,0,6,6143,1,863,4838189,17,241
4051,score,0,9,2254,1,496,42756,17,279
4055,score,1,0,788,1,7,189660,18,42
4068,score,0,154,197771,1,975,12870,20,9458
4078,score,2,12,9544,1,225,17194,12,428
4086,score,0,0,241,1,5,1531175,11,31
4089,score,1,0,915,1,82,6391764,14,117
4094,score,0,2,750,1,149,439242,15,151
4098,score,0,0,2605,1,3,645703,10,149
4099,score,1,0,2605,2,3,645703,15,149
4100,score,2,0,2605,1,3,645703,14,149
4103,score,0,1,6019,1,257,666079,16,183
4108,score,0,266,24503,1,3232,1596545,16,2121
4124,score,0,8,1515,1,361,129543,20,94
4125,score,0,8,1515,2,361,129543,17,94
4133,score,3,3,2670,1,79,2259117,18,152
4141,score,0,3,2217,1,20,2057867,20,160
4148,score,0,20,948,1,37,2450935,18,142
4153,score,1,11,249,2,86,3621758,16,136
4155,score,3,2,5402,1,89,3914111,15,175
4159,score,0,25,939,1,681,5134817,20,100
4165,score,0,4,452,1,118,752599,18,122
4166,score,0,257,5822,1,4348,1075247,15,1198
4180,score,0,22,6045,1,223,107567,12,364
4181,score,0,22,6045,2,223,107567,20,364
4182,score,0,22,6045,1,223,107567,19,364
4187,score,0,1,525,2,33,1200428,19,61
4201,score,0,24,17985,1,397,416626,12,352
4202,score,0,24,17985,1,397,416626,17,352
4216,score,1,6,3342,-1,404,1205019,10,194
4217,score,0,6,3342,1,404,1205019,20,194
4225,score,0,0,200,1,26,1983698,19,25
4228,score,3,51,7556,2,307,342932,19,1168
4238,score,2,1,15643,1,1779,3894917,16,990
4243,score,3,1,6151,1,319,4675736,16,1136
4248,score,1,0,366,2,199,6189078,13,36
4255,score,0,13,2438,1,156,623117,15,131
4259,score,0,0,89,-1,14,1723506,20,58
4266,score,1,0,363,1,1,2868835,18,80
4267,score,1,5,529,-1,4,3009613,16,121
4269,score,5,5,529,1,4,3009613,20,121
4279,score,1,6,2663,1,155,766264,18,210
4289,score,1,13,8905,2,2316,2287576,18,1800
4300,score,0,7,7895,1,419,13153,19,578
4306,score,0,1,1907,1,217,346613,16,188
4318,score,2,11,1722,1,29,2072387,14,125
4320,score,3,2,523,2,32,2773052,19,45
4323,score,0,15,3918,1,1224,3229534,17,358
4328,score,0,7,1444,1,72,5194337,19,235
4332,score,0,7,1331,2,57,6171195,8,138
4335,score,0,29,16110,1,1120,28901,19,530
4340,score,0,35,30605,1,1014,107783,19,2351
4355,score,0,111,6195,-1,764,3310334,17,1344
